Marca;Descrição;Perfil;Material;Quantidade;Comprimento (m);Peso unitário (kg);Peso total (kg);Área de pintura (m²);Observação
P1;Pilar do pórtico;W 410×38,8;ASTM A572 Gr.50;18;6,000;232,80;4190,4;145,30;
V1;Viga do pórtico (uma água);W 250×32,7;ASTM A572 Gr.50;18;10,050;328,60;5915,4;196,80;
T1;Terça;Ue 200×75×20×2,00;CF-26 (NBR 6650);112;5,000;30,00;3360,0;338,80;
TC;Corrente/tirante de terça ø 16 mm;Barra ø 16 mm;ASTM A36;112;1,600;2,53;283,1;0,00;
L1;Longarina de fechamento;Ue 200×75×20×2,00;CF-26 (NBR 6650);48;5,000;30,00;1440,0;145,20;
CC;Diagonal de contraventamento de cobertura;Barra redonda ø 20 mm;ASTM A572 Gr.50;24;7,070;17,50;419,1;10,70;
CV;Diagonal de contraventamento vertical;Barra redonda ø 20 mm;ASTM A572 Gr.50;12;7,810;19,30;231,5;5,90;
CH;Chapas de ligação, bases e enrijecedores;Chapa;ASTM A36;1;0,000;792,00;792,0;19,80;estimativa de 5 % do peso dos perfis
PF;Parafusos, chumbadores e acessórios;Diversos;ASTM A325;1;0,000;475,20;475,2;0,00;estimativa de 3 % do peso dos perfis
;TOTAL;;;;;;17106,7;862,50;
